draw,production_kgco2e
697,3407.833546414603
698,3811.2013904691885
699,4096.364832540396
700,3893.4744761232446
701,4025.2474518076733
702,4250.395948935064
703,3764.0749800558674
704,4586.980837491574
705,4400.816374076519
706,4472.669706244294
707,3927.673790896956
708,4069.574822290682
709,4093.810407540457
710,3910.6060095055363
711,3790.955353797379
712,3962.019561492214
713,3707.0209726661064
714,4287.970449776617
715,3672.929240298705
716,3705.6347148211066
717,3808.8563010616103
718,4488.345742559813
719,3957.7132114769915
720,3652.5387552611633
721,4281.056708468492
722,4339.324434370986
723,4328.655925892411
724,3864.305442692308
725,3809.930920715196
726,3992.2991419311875
727,3880.856139772899
728,3359.511573848268
729,4380.277131313374
730,4267.567643878785
731,3718.7724809290967
732,3936.4995802797725
733,3486.4532616592005
734,4241.727883373638
735,3699.8033300970455
736,4333.9742524617295
737,4359.490357038091
738,3873.9927576315413
739,3957.7491327662087
740,4037.31878756919
741,4043.5494835761874
742,4198.910201315322
743,3738.0444971795737
744,4146.273803713291
745,3870.9361468367515
746,3721.026427272307
747,4295.648997942794
748,4424.768345228584
749,3973.8904627575243
750,3966.988723959229
751,4006.2653231104723
752,4004.335317810179
753,3871.736804620661
754,3924.9820284409534
755,3764.3853645183676
756,4238.487349490371
757,3843.3923810649594
758,3912.4247542046014
759,3977.218836358589
760,4015.2093656804404
761,3565.2037265458284
762,3991.660246284474
763,3841.3505917390808
764,3904.3378380808135
765,4089.346615320477
766,3835.6793565351745
767,4562.786884034678
768,3718.0924947743724
769,3965.076100824046
770,3795.9958123033443
771,3732.530231970994
772,4156.885240872458
773,4299.266955004987
774,3646.8629759642035
775,3669.8488738557107
776,3684.24296079498
777,3952.47552546151
778,3918.9426072486185
779,4200.626303268278
780,3917.619766847898
781,3971.3883074777223
782,3745.5516527806294
783,4266.499107013469
784,3912.039353553172
785,4105.230397902954
786,4432.049841236454
787,3903.728499799436
788,4066.758234025771
789,4003.9643440755403
790,4132.873833654695
791,3678.845199915878
792,4133.458143687117
793,3881.310752716157
794,4254.665460504678
795,4153.9693360372585
796,3665.2418838268627
797,4062.951737959799
798,3982.3854065935902
799,4093.571094005456
800,4193.750523247054
801,4031.479205532055
802,4008.6075908965536
803,4248.19943819906
804,4377.106387323167
805,3880.447080498807
806,4071.56073865002
807,3916.874748259645
808,3909.410417926645
809,4288.673105307232
810,3914.5416605649943
811,4075.3490402790812
812,3758.111720064079
813,3973.9780931440278
814,3766.2803627641706
815,3564.5079245849015
816,4214.09942156717
817,4022.451274537787
818,3822.2994570522033
819,4101.868304862326
820,4097.118206004119
821,4190.88013524902
822,3850.9340669358444
823,3226.4650305211417
824,4119.02870635718
825,3761.2554759572877
826,4088.4317266859903
827,3931.5058454588843
828,3692.041918353842
829,4077.7587702272654
830,4117.786367707106
831,3993.051162391409
832,4208.428535844083
833,3819.0582321862
834,4106.639244386057
835,4111.03657820648
836,4035.230604096245
837,4218.344150582602
838,4320.832603835174
839,4050.9670414442708
840,3406.7593772087093
841,3883.0806029100813
842,3577.5483551715915
843,4166.063179164819
844,3653.7127388227295
845,3966.2523678599764
846,4036.622813659333
847,3744.2194860417976
848,4196.300359572192
849,3631.766206259712
850,4215.081896954525
851,4080.943766371939
852,4486.503408993648
853,4046.9127041788033
854,3956.4958780731913
855,3650.421058001012
856,3810.100766446053
